"Num","Name"
"1","GND"
"2","5V"
"3","GND"
"4","5V"
"5","GND"
"6","5V"
"7","GND"
"8","5V"
"9","GND"
"10","5V"
"11","GND"
"12","5V"
"13","NC"
"14","NC"
"15","ETH1_1P"
"16","ETH2_1P"
"17","ETH1_1N"
"18","ETH2_1N"
"19","NC"
"20","NC"
"21","ETH1_2N"
"22","ETH2_2N"
"23","ETH1_2P"
"24","ETH2_2P"
"25","NC"
"26","NC"
"27","ETH1_3P"
"28","ETH2_3P"
"29","ETH1_3N"
"30","ETH2_3N"
"31","NC"
"32","NC"
"33","ETH1_4N"
"34","ETH2_4N"
"35","ETH1_4P"
"36","ETH2_4P"
"37","NC"
"38","NC"
"39","GND"
"40","GND"
"41","L2"
"42","R1"
"43","NC"
"44","T1"
"45","NC"
"46","U1"
"47","NC"
"48","Y2"
"49","K18"
"50","W1"
"51","C18"
"52","V1"
"53","NC"
"54","M1"
"55","GND"
"56","GND"
"57","T18"
"58","N2"
"59","R18"
"60","N3"
"61","R17"
"62","T2"
"63","P17"
"64","M3"
"65","M17"
"66","T3"
"67","T17"
"68","R3"
"69","U18"
"70","N4"
"71","U17"
"72","M4"
"73","P18"
"74","L4"
"75","N17"
"76","L5"
"77","N18"
"78","P16"
"79","M18"
"80","J16"
"81","L20"
"82","J18"
"83","L18"
"84","J17"
"85","K20"
"86","H18"
"87","K19"
"88","H17"
"89","J20"
"90","G18"
"91","J19"
"92","H16"
"93","H20"
"94","F18"
"95","G20"
"96","G16"
"97","G19"
"98","E18"
"99","F20"
"100","F17"
"101","F19"
"102","F16"
"103","E20"
"104","E16"
"105","GND"
"106","GND"
"107","GND"
"108","GND"
"109","E19"
"110","E17"
"111","D20"
"112","D18"
"113","D19"
"114","D17"
"115","C20"
"116","G5"
"117","B20"
"118","D16"
"119","B19"
"120","F5"
"121","B18"
"122","E6"
"123","A19"
"124","E5"
"125","C17"
"126","F4"
"127","A18"
"128","E4"
"129","D3"
"130","F1"
"131","C4"
"132","F3"
"133","B4"
"134","G3"
"135","C3"
"136","H3"
"137","E3"
"138","H4"
"139","A3"
"140","H5"
"141","C2"
"142","J4"
"143","B1"
"144","J5"
"145","C1"
"146","K3"
"147","D2"
"148","K4"
"149","D1"
"150","K5"
"151","E2"
"152","B3"
"153","E1"
"154","A2"
"155","F2"
"156","B2"
"157","GND"
"158","GND"
"159","NC"
"160","NC"
"161","NC"
"162","NC"
"163","NC"
"164","NC"
"165","NC"
"166","NC"
"167","NC"
"168","NC"
"169","NC"
"170","NC"
"171","NC"
"172","NC"
"173","NC"
"174","NC"
"175","NC"
"176","NC"
"177","NC"
"178","NC"
"179","NC"
"180","NC"
"181","NC"
"182","NC"
"183","NC"
"184","NC"
"185","NC"
"186","NC"
"187","NC"
"188","NC"
"189","NC"
"190","NC"
"191","NC"
"192","NC"
"193","NC"
"194","NC"
"195","NC"
"196","NC"
"197","NC"
"198","NC"
"199","GND"
"200","GND"
